コード,来期見通し要約
5187,このような状況の下、2026年12月期の業績予想につきましては、中期経営計画2027の２年目として、国内販売は新製品の営業活動と原材料高騰を背景とした販売価格改定により収益性向上を進めるとともに、海外市場では中国の集中購買の対策を図りつつ、インド・東南アジア地域への新市場拡大により売上高の拡大を計画しております。
5446,"2027年３月期の連結業績予想につきましては、売上高25,000百万円と2026年３月期並みの水準を見込みますが、主原料である鉄スクラップ価格や各エネルギー調達コストの急騰および高止まりにより営業損失900百万円、経常損失800百万円、親会社株主に帰属する当期純損失800百万円を見込んでおります。"
3632,投資事業を除く、各事業セグメントごとの今後の見通し等については、本日発表の「2025年６月期通期（第４四半期）決算説明会資料」にて開示しておりますので、あわせてご参照ください。
6718,当社グループの為替影響につきましては、ＵＳドルやタイバーツに対して円高が進行することにより営業利益が押し上げられる効果があります。
9876,2027年２月期においては、経済活動の正常化が進み、雇用・所得環境が改善するなど緩やかな回復基調で推移する一方で、継続的な物価上昇や人件費の高まりを受けたコストの増加、人手不足の深刻化への懸念等が続くものと考えられます。
8869,当連結会計年度におきましては、売上高・利益ともに計画を大きく超過いたしました。
5282,次期は売上高106億円、営業利益０百万円、経常利益０百万円を見込んでおります。なお、上記業績見通しは、中東情勢の緊迫化によるコスト上昇及び石油化学製品の供給不安の影響は考慮しておりません。
3537,"当社グループの次期（2027年３月期）の連結業績は、売上高27,267百万円（前連結会計年度比1.3％増）、営業利益441百万円（前連結会計年度比12.6％減）、経常利益629百万円（前連結会計年度比13.3％減）、親会社株主に帰属する当期純利益は437百万円（前連結会計年度比21.4％減）の増収減益を見込んでおります。"
8595,
6497,2026年12月期の連結業績予想につきましては、売上高131億円、営業利益12.5億円、経常利益13.8億円、親会社株主に帰属する当期純利益9.8億円を見込んでおります。なお、当期は当社の新たな中期経営計画（５カ年）の５年目となります。
2168,(決算説明資料の入手方法)決算説明補足資料については、当社ホームページ(https://www.pasonagroup.co.jp/ir/)に本日（2026年４月14日）掲載しております。
7264,"現時点での事業環境に大きな変動が無いことを前提とした連結業績予想としましては、売上高は24,139百万円、経常利益は1,720百万円、親会社株主に帰属する当期純利益は1,212百万円を見込んでおります。"
5079,わが国経済は、雇用・所得環境に改善の動きが見られる中、インバウンド需要の増加や個人消費の持ち直しにより緩やかな回復傾向となりました。
7122,短期的には中東情勢の緊迫化による物価や調達コストの上昇が懸念され、当社グループにおいても資源供給の混乱とそれに伴う原材料やエネルギー価格の高騰、人件費の急騰などによる製造原価の上昇に加え、工程に影響を及ぼすことも考えられますが、影響の規模と解消時期が不明なため現時点で明確な形では業績予想に織り込んでおりません。
8281,今後の当社グループを取り巻く環境は、雇用・所得環境の改善や各種政策の効果により、国内景気は緩やかな回復が続くことが期待されます。
1853,"このような状況下、当社の2027年３月期の業績は、売上高27,200百万円、営業利益1,160百万円、経常利益1,160百万円、当期純利益780百万円と見込んでおります。"
7908,2027年３月期につきましては、米国の通商政策の動向や自動車産業の回復時期に加え、中東情勢の緊張に伴う原油やナフサ調達環境への影響など、日々不確実性が高い状況が続くものと見込んでおります。
4627,"このような状況のもと、中期経営計画２年目にあたる次期の業績見通しにつきましては、売上高23,000百万円（当連結会計年度比3.3％増）、営業利益1,450百万円（当連結会計年度比3.7％増）、経常利益1,550百万円（当連結会計年度比2.7％増）、親会社株主に帰属する当期純利益1,000百万円（当連結会計年度比12.1％減）を見込んでおります。"
4243,"次期は国家間の争いや地政学的リスク、環境問題等の各種課題がより強く顕在化し、合理的な検討や柔軟な対応が要求される状況が続くものと予想されます。このような状況のもと、次期の連結業績見通しにつきましては、売上高4,530百万円、営業利益234百万円、経常利益247百万円、親会社株主に帰属する当期純利益191百万円を予想しております。"
4625,2027年３月期の連結業績は売上高125億円、営業利益４億30百万円、経常利益４億60百万円、親会社株主に帰属する当期純利益３億円を見込んでいます。
7521,次期は売上高339億59百万円、営業利益５億96百万円、経常利益７億32百万円、親会社株主に帰属する当期純利益３億91百万円を見込んでおります。
5986,今後のわが国経済は、企業収益や雇用環境の改善を背景に緩やかな景気回復が期待されますが、緊迫度を増す中東情勢に起因する原油の供給障害や油価の上昇、金融資本市場の変動、さらには米国の通商政策をめぐる動向等、依然として先行き不透明な状況で推移するものと思われます。以上の結果、次期における連結業績見通しは、売上高490
6150,2026年５月期の見通しは、都市部を中心とする鋼構造物、国土強靭化基本計画による国内インフラ補強、物流倉庫、データセンター等の内需は見込まれるものの、様々な構造的要因による人手不足の影響は建設工期の長期化を引き起こし、鋼材価格の高止まりや人件費・物流費の上昇のほか、コストプッシュ型のインフレ圧力も強く加わり、建設計画の見直し又は中止が散見されるなど事業環境は極めて厳しく、不透明な状況で推移するものと予想しております。
7975,"2027年２月期の連結業績予想につきましては、売上高は事務用品等事業において、主力取引先の大手通販会社の受注減少要因が解消される見込みであることや、利益では不動産賃貸事業において、当連結会計年度に係る賃貸用マンションの購入に伴う費用が一過性であること等を鑑みて、売上高9,350百万円（当連結会計年度比2.5％増）、営業利益230百万円（当連結会計年度比538.4%増）、経常利益250百万円（当連結会計年度比119.1"
5966,以上により、2027年３月期の連結業績予想につきましては、売上高85億円、営業利益６億30百万円、経常利益６億70百万円、親会社株主に帰属する当期純利益は４億70百万円を見込んでおります。
3477,"2027年３月期業績予想は、売上高は20,000百万円（当事業年度比14.4％増）、営業利益は1,000百万円（当事業年度比13.6％増）、経常利益は900百万円（当事業年度比14.3％増）、当期純利益は650百万円（当事業年度比19.4％増）としております。"
7464,"これらを勘案し、次期の見通しにつきましては売上高10,231百万円（前年同期比1.2％増）、営業利益232百万円（前年同期比5.4％減）、経常利益252百万円（前年同期比4.7％減）、親会社株主に帰属する当期純利益145百万円（前年同期比1.0％増）を見込んでおります。"
4365,次期は物価上昇の継続、米国の通商政策の動向、中東情勢を起因とした原材料・エネルギー価格の高騰、金融資本市場の変動など依然として不透明な状況が続くと見込まれます。
3639,
7865,前述の（中期的な方針）にも掲げましたとおり、現在、当社は事業構造改革を経て、2026年1月期より収益創出フェーズへ移行しております。
2491,"以上により、次期の業績見通しは、売上高14,400百万円（前期比39.5％減）、営業損失700百万円（前期は営業利益1,976百万円）、経常損失700百万円（前期は経常利益1,882百万円）、当期純損失800百万円（前期は当期純利益262百万円）を計画しております。"
5078,次期は雇用・所得環境の改善もあり景気は緩やかな回復を続けることが期待されるものの、労務費の上昇や資材価格の高止まりにより建築コストの上昇が続くものと思われます。
3054,次期は売上高110億66百円、営業利益1億29百万円、経常利益1億29百万円、親会社株主に帰属する当期純利益1億2百万円を計画しております。
3297,ア)次期の業績見通し国内経済は、所得の増加などにより個人消費はじめ需要が引き続き緩やかに拡大しているものの、インフレ懸念が根強くあることから、今後の金融政策が引き締め気味になるとみられ、これにより、国内需要の拡大ペースが鈍化していくものと予想されます。
5915,今後の国内景気につきましては、地政学的リスクの継続や顕在化にともなう海外経済の不確実性、為替動向や物価上昇の影響などにより、先行きには引き続き不透明感が残るものと考えられます。
8584,"当社グループを取り巻く経営環境は、金融政策の転換による金利上昇などを背景に、依然として先行き不透明な状況が続いています。次期における当社グループの通期見通しは、連結営業収益1,925億円、連結経常利益110億円、親会社株主に帰属する当期純利益100億円を見込んでおります。"
9895,2026年３月期の業績予想につきましては、連結業績予想で売上高104億円、営業利益１億円、経常利益１億50百万円、親会社株主に帰属する当期純利益１億円、個別業績予想で売上高85億円、経常利益１億円、当期純利益80百万円としております。
6159,"このような状況から、2026年８月期の通期の連結業績予想につきましては、売上高5,467百万円、営業利益381百万円、経常利益668百万円、親会社株主に帰属する当期純利益は452百万円をそれぞれ見込んでおります。"
2489,2026年12月期におきましては、深刻な人手不足への対応や賃上げの継続による内需の底堅い推移が見込まれる一方、米国の金利政策の動向に伴うさらなる円安進行や、関税引き上げ等の影響、さらには中国の経済対策の停滞に伴う景気の冷え込みなど、先行きが不透明な状況が続くことが予測されております。
8159,"このような環境において当社企業グループは、中長期経営計画「GIC30」で進めている各種戦略の実行に注力すると共に、ＤＸの推進・ＩＴの活用による業務変革、人財への投資を積極的に進め、2030年度売上高3,000億円、営業利益率４％の達成に向かって邁進してまいります。"
3954,次期につきましては、中東情勢緊迫化による業績への影響を最小限に抑えて、売上数量や採算を確保していくことが急務となります。
3710,なお、業績に影響を与える要因はこれらに限定されるものではありません。
8076,"以上により、2027年３月期における通期の連結業績予想につきましては、売上高は1,698億52百万円、営業利益は27億25百万円、経常利益は30億円、親会社株主に帰属する当期純利益は20億59百万円を見込んでおります。"
7486,"通期連結業績予想売上高33,000百万円、営業利益750百万円、経常利益1,200百万円、親会社株主に帰属する当期純利益960百万円(4）利益配分に関する基本方針及び当期・次期の配当利益配当につきましては、継続して安定配当ができるよう事業収益の拡大を図りながら、株主の皆様への利益還元を充実させることを重視し、「中期経営計画（2025-2027）」の中で配当性向35％以上を目標に掲げてお"
7985,翌連結会計年度の業績見通しとしては、売上高74億５千万円、営業利益６千万円、経常利益４千５百万円、親会社株主に帰属する当期純利益３千万円を見込んでおります。
7957,①計画期間を３年から５年に変更当社の置かれた現状の厳しい経営環境を勘案したうえでの変更②毎年計画を見直す「ローリング方式」の採用これまでの反省を踏まえ、環境変化に対し即時対応すべく早期にPDCAを機能させるための変更③事業ポートフォリオ分析による成長戦略（製品群）事業戦略として、事業ポートフォリオ分析を用いて、当社の強みと市場成長性による選択と集中を行ったうえで経営資源を有効に配分し、売上高の向上および収益の回復・拡大を図るための変更この新中期経営計画の推進徹底により、2026年12月期において利益の黒字回復を図り、通期の連結業績は、売上高90億円、営業利益1億5千万円、経常利益1億2千万
3131,この方針のもと、2027年３月期の通期連結業績予想につきましては、メモリー市況の動向を踏まえつつ、半導体製品分野におけるボリュームビジネスの獲得による取引拡大が見込まれることに加え、システム製品分野が総じて堅調に推移する見通しであることから、売上高の拡大及び利益面の改善を見込んでおります。
5969,"といたしましては、連結売上高で5,730百万円、連結営業利益で180百万円、連結経常利益で180百万円、親会社株主に帰属する当期純利益で120百万円を見込んでおります。"
7885,"次期の連結業績につきましては、売上高25,000百万円（前連結会計年度比0.8％増）、営業利益1,000百万円（前連結会計年度比18.8％増）、経常利益1,100百万円（前連結会計年度比10.0％増）、親会社株主に帰属する当期純利益730百万円（前連結会計年度比18.5％増）を見込んでおります。"
3134,
6325,当社は、第１期中期事業計画における課題と反省を踏まえ、「成長軌道への回帰」を実現すべく、『変革スピードを加速し確かな成長軌道へOffensive120』をスローガンに、成長戦略を着実に推進してまいります。
6797,"当社グループを取り巻く環境は、道路建設など新規投資が減少し、維持更新需要にシフトしつつあります。これらの状況を踏まえ、売上高16,000百万円、営業利益660百万円、経常利益710百万円、親会社株主に帰属する当期純利益560百万円を見込んでおります。"
7628,"このような状況下、次期の連結業績につきましては、売上高は43,000百万円（前連結会計年度比5.1％増）、営業利益は2,550百万円（同5.1％増）、経常利益は3,000百万円（同1.1％増）、親会社株主に帰属する当期純利益は2,100百万円（同0.7％増）を予想しております。"
6276,このような事業環境における翌連結会計年度(2026年12月期)の連結業績見通しにつきましては、売上高20億80百万円、営業利益１億10百万円、経常利益１億20百万円、親会社株主に帰属する当期純利益２億円を予想しております。
7472,以上を踏まえ、次期連結会計年度の連結業績に関しましては、売上高は320億円、営業利益は17億30百万円、経常利益は18億45百万円、親会社株主に帰属する当期純利益は12億40百万円を見込んでおります。
6151,当社グループは、「中期経営計画2026」に基づき、成長領域への投資および生産体制の最適化、経営基盤の強化を進めております。
6820,現下の中東情勢による業績への影響につきましては、物流面で一部影響が見られるものの軽微にとどまっております。
2221,以上から、次年度の連結業績につきましては、連結売上高306億円、営業利益３億円、経常利益19億円、親会社株主に帰属する当期純利益13億円を見込んでおります。
8141,"当社グループの2027年３月期の連結業績予想につきましては、連結売上高1,260億円、営業利益18億円、経常利益21億円、親会社株主に帰属する当期純利益14億円を見込んでおります。"
3583,今後の経済環境の見通しにつきましては、米国とイスラエルによるイランへの軍事行動がホルムズ海峡の封鎖を招き、その結果、原油とナフサなどの供給不足が世界的なエネルギー価格の高騰や原材料の供給リスクとなり、世界経済の減速懸念が一段と高まっております。
6778,移動体通信市場におきましては、第5世代移動通信方式（5G）の商用サービスが開始され、当初は順調に基地局数も増加しましたが、開発投資は減少傾向にあります。
4170,2026年12月期におきましては、企業活動におけるデジタル化の進展が引き続き進むとともに、生成AIをはじめとする新技術の普及が進展することにより、企業のデジタルトランスフォーメーション（DX）推進に対するニーズは、引き続き高い水準で推移するものと見込まれます。
5945,"以上により、先行きは非常に不透明な状況ですが、2026年度連結業績につきましては、売上高14,000百万円（前年同期比3.9％増）、営業利益1,820百万円（前年同期比4.9％増）、経常利益2,120百万円（前年同期比3.2％減）、親会社株主に帰属する当期純利益1,480百万円（前年同期比2.4％減）を見込んでいます。"
6158,"なお、次期(2027年３月期)の業績の見通しにつきましては、連結売上高7,524百万円、連結営業利益428百万円、連結経常利益501百万円、親会社株主に帰属する当期純利益351百万円を見込んでおります。"
3892,"2026年５月期の業績は売上高11,600百万円、営業利益900百万円、経常利益1,000百万円、当期純利益700百万円を見込んでおります。"
7928,次期は売上高は78億50百万円（前期比6.1％減）、営業利益は40百万円（前期は営業損失45百万円）、経常利益は１億10百万円（前期比3.0％減）、親会社株主に帰属する当期純利益は50百万円（前期比6.1％増）を予想しております。
3851,令和9年3月期の連結業績予想につきましては、下記のように見込んでおります。
3895,2027年３月期につきましては、中東情勢の緊張が続く中、エネルギーや原材料価格の高騰等により、しばらくは先行き不透明な状況が続くものと思われます。
9867,2027年３月期の連結業績につきましては、売上高312億円（前年同期比2.7％増）、営業利益23億円（前年同期比12.2％減）、経常利益22億90百万円（前年同期比13.6％減）、親会社株主に帰属する当期純利益13億90百万円（前年同期比18.2％減）を見込んでおります。
5997,次期の2026年12月期の連結業績の予想につきましては、売上高118億円、営業利益６億20百万円、経常利益６億60百万円、親会社株主に帰属する当期純利益４億60百万円を見込んでおります。
7953,今後のわが国経済の見通しにつきましては、雇用・所得環境の改善や堅調な企業収益を背景に、引き続き緩やかな回復基調で推移すると思われます。
1887,この中期経営計画では、①建設事業における収益力の回復、②成長分野への堅実投資、③既存領域からの新規事業展開、④持続的成長を支える人財・DX戦略の推進に取り組み、最終年度（2028年５月期）における計数目標は、ROE（自己資本利益率）8.0%、営業利益90億円、また、３カ年で投資総額740億円を実施する方針です。
1793,今後のわが国経済は、政府による各種経済対策や賃上げの定着による雇用・所得環境の改善、堅調な企業収益を背景に、景気は緩やかな回復基調で推移することが期待されます。
3417,)国内経済の次期の見通しにつきましては、人手不足や賃上げを背景に雇用や所得の環境改善が継続しており、国内需要を中心に景気の回復基調が見込まれます。
3277,"次期は売上高25,500百万円（前年同期比9.2％増）、営業利益2,400百万円（前年同期比6.8％増）、経常利益1,900百万円（前年同期比2.6％増）、親会社株主に帰属する当期純利益1,330百万円（前年同期比2.7％増）を見込んでおります。"
6349,当社は、長期的展望に立ち、証券印刷機事業で政府関連機関に超長期に渡るサービスを提供すること等のため、財務・経営基盤への信頼と将来の事業拡大を目的に内部留保の確保を念頭に置きながら、株主の皆様に対し安定かつ充実した利益還元を継続的に行うことを最重要課題の一つと認識しております。
7614,以上の通り、当社グループの次期の見通しは、売上高355億円（前年同期比0.4％増）、営業利益14億5
8075,"このような事業環境の中、中期経営計画の最終年度となる2027年３月期の連結業績予想につきましては、売上高6,860億円、営業利益121億円、経常利益115億円、親会社株主に帰属する当期純利益90億円を見込んでおります。"
6360,このような状況から、当社の2027年３月期通期業績見通しは、売上高100億円（前年同期比3.2％増）、営業利益５億円（前年同期比25.3％減）、経常利益６億７千万円（前年同期比22.6％減）、当期純利益４億６千万円（前年同期比43.1％減）を見込んでおります。
9414,
6907,2027年３月期につきましては、半導体・電子部品向けが引き続き高成長を維持することが期待されることに加え、その他の品目においても戦略的なソリューション取引による売上高を見込んでおります。
3641,"翌連結会計年度（2027年３月期）の連結業績見通しについては、売上高は15,328百万円（前年同期比4.0％増）、営業利益は334百万円（前年同期比162.4％増）、経常利益は391百万円（前年同期比18.7％減）、親会社株主に帰属する当期純利益は127百万円（前年同期は親会社株主に帰属する当期純"
2654,"イラン戦争による地政学的な緊張により経済の不透明性が高まり、地球規模での温暖化の進行等による異常気象の発生増加や災害の激甚化が懸念され、予測しづらい状況です。次期の業績予想につきましては、売上高24,768百万円、営業利益574百万円、経常利益612百万円、親会社株主に帰属する当期純利益393百万円と見通しております。"
1376,これらを踏まえ、売上高665億円、営業利益19億円、経常利益20億円、親会社株主に帰属する当期純利益15億円と予想し、全体として増収増益を予想しております。
3953,"この様な見通しのもと、当社の2027年３月期の通期業績予想につきましては、売上高6,300百万円(前期比5.8％増)、営業利益421百万円(同20.0％増)、経常利益424百万円(同17.9％増)及び当期純利益292百万円を計画しております。"
6358,今後世界の建設機械市場は、短期的には調整局面がしばらく続くものの、中長期的には日本の国土強靭化実施中期計画や防衛整備予算倍増、米国における高水準のインフラ投資、新興諸国におけるインフラ投資と鉱山開発の活発化、更には老朽化インフラの更新需要や自然災害甚大化への対応と復興需要など、建設機械の底堅い潜在需要が期待されますので、景気循環とともに回復するものと予想しております。
5958,今後の経済情勢につきましては、雇用・所得環境の改善や各種政策の効果で緩やかな回復を支え、景気は回復傾向が続くと期待されております。
3597,"以上のような活動を推進することにより、2026年6月期の連結業績予想は、売上高は16,000百万円（前年同期比7.1％増）、営業利益は1,800百万円（前年同期比24.4％増）、経常利益は1,900百万円（前年同期比16.8％増）、親会社株主に帰属する当期純利益は1,350百万円（前年同期比19.6％増）としております。"
8093,当グループは、サステナブルな社会の実現と企業価値の向上を目指した中期経営計画「KBKプラスワン2025」で掲げた事業戦略の実行により、この５カ年を通して着実に成果を出し業績を改善し続けてきました。なお、2027年３月期の連結業績につきましては、売上高660億円、営業利益23億円、経常利益25億50百万円、親会
5304,世界経済は、金融引き締めの影響、地政学的リスクの高まり等により、先行き不透明な状況が続いております。2027年３月期の通期連結業績予想につきましては、売上高265億円（前期比5.6%増）、営業利益34億円（前期比15.2%減）、経常利益44億円（前期比22.6%減）
4925,今後のわが国経済は、雇用・所得環境の改善やインバウンド需要の拡大を背景に、緩やかな回復基調が続くことが期待される一方で、資源・エネルギー価格の高止まり、物価上昇による消費マインドへの影響、為替変動、地政学リスクの長期化など、先行き不透明な状況が継続するものと予想されます。
4120,"当社を取り巻く経営環境は、中東情勢の緊迫化を契機とするホルムズ海峡の閉鎖を受け、原油価格が高騰するなど、景気の下押しリスク、不透明感が強まっています。次期の総売上高は6,500百万円と当期に比べ67百万円増（1.0%）と微増となる見込みです。"
