コード,見通し原文
7851,"今後の見通し 先行き不透明な中東情勢の緊迫化を受け、今後も原材料等を含めたあらゆるものが高騰するものと予想されます。当社に限らず、お客様にもその影響があるものと考えており、今後の受注状況にも影響するものと予想しております。 このような状況のなか当社におきましては、引き続き地方自治体や外郭団体などへの営業活動の強化、新規案件の取り込み、お客様への価格改定活動を行ってまいります。 現時点における翌事業年度の業績の見通しは、売上高は2,650百万円、利益につきましては雇用環境の改善やサイバーセキュリティ対策、原材料、光熱費等の高騰などにより利益を圧迫するものと予想しており、営業利益０百万円、経常利益20百万円、当期純利益30百万円を見込んでおります。２．会計基準の選択に関する基本的な考え方 当社の事業は、現在日本国内で展開していることから、当面は日本基準を採用することとしておりますが、今後の外国人株主比率の推移やＩＦＲＳ（国際財務報告基準）導入に関する動向を踏まえ、情報収集に努め、適正に対応できる体制を整備していく方針であります。 カワセコンピュータサプライ株式会社(7851) 令和８年３月期決算短信 - 4 - （単位：千円）前事業年度（令和７年３月31日）当事業年度（令和８年３月31日）資産の部流動資産現金及び預金1,112,0161,126,280受取手形1,553－売掛金398,001343,247商品及び製品32,10319,495仕掛品6,44818,035原材料及び貯"
4234,"業績見通しにつきましては、売上高306億円（前年同期比0.8％増）、営業利益９億40百万円（前年同期比12.3％増）、経常利益11億円（前年同期比7.7％増）、親会社株主に帰属する当期純利益６億50百万円（前年同期比32.1％減）を予想しております。２．会計基準の選択に関する基本的な考え方 当社グループの利害関係者の多くは、国内の株主、債権者、取引先等であり、海外からの資金調達の必要性が乏しいため、会計基準につきましては日本基準を適用しております。 株式会社サンエー化研 （4234） 2026年３月期決算短信 - 5 - (単位：千円)前連結会計年度(2025年３月31日)当連結会計年度(2026年３月31日)資産の部流動資産現金及び預金6,380,8116,005,736受取手形435,04587,992電子記録債権4,601,4524,617,886売掛金5,943,8065,870,065商品及び製品1,952,3971,880,551仕掛品1,924,4321,982,372原材料及び貯蔵品1,142,7851,177,393未収還付法人税等18,840－その他178,079127,376貸倒引当金△18,052△16,480流動資産合計22,559,59821,732,893固定資産有形固定資産建物及び構築物12,906,41012,954,432減価償却累計額及び減損損失累計額△10,327,074△10,454,102建物及び構築物（純額）2,579,3362,"
3261,今後の見通し 当社グループを取り巻く経営環境は、建築資材価格および人件費の上昇が継続する中、住宅販売価格は高止まりの状況が続いております。また、消費者物価の上昇や金利上昇の影響により、実需を中心とした住宅需要は低調に推移しております。一方で、企業間競争については過度な競争局面を概ね脱しつつあり、地方では建売住宅事業から撤退する小規模事業者も見受けられるなど、市場環境は転換期を迎えております。 このような状況を踏まえ、当社は2026年12月期のスローガンを「整える」と定め、今後の更なる成長発展に向けて、収益基盤および人員体制を整備することを重要な経営課題として位置付けております。①不動産販売事業の安定化 建売住宅部門については、当該市場が成長局面にあるとは判断しておらず、現状の事業規模を維持しつつ、需要動向を見極めながら慎重な事業運営を行う方針であります。無理な拡大投資は行わず、商品力および価格競争力の維持を重視した安定的な収益確保に努めるとともに、ウェブマーケティングや広報の充実を図ることで、顧客認知度の向上および中長期的な潜在顧客の獲得に取り組んでまいります。 一方、投資用不動産部門については、中長期的な収益力の向上を図るべく、開発を積極的に推進するとともに、自社保有物件数の増加を進めております。これにより、売却益に依存しない運用による賃貸収入を着実に積み上げ、収益構造の安定化および多角化を図ってまいります。②株式会社もりぞうの投資回収 連結子会社である株式会社もりぞうについて
9767,"今後の見通し物価の上昇やアメリカの政策動向さらに地政学的緊張の増大による原材料の調達難および価格高騰の影響等に十分注意する必要があり、先行き不透明な状況にありますが、公共投資は底堅く推移するものと予想されます。業界を取り巻く環境は厳しさを増していくものの、気候変動や地震及び火山による自然災害の激甚化・頻発化に直面するなかで、当社グループの主たる業務である港湾、漁港、海岸、河川、砂防分野における波浪、豪雨、土砂災害等に対する緊急性の高い国の国土強靭化に関わる防災・減災対策事業は、これからも持続可能な社会の実現にとって必要とされ続けるものと考えております。当社グループは、年度ごとの災害復旧事業の増減により収益は変動いたしますが、防災・減災に適応する製品・工法を提供し、持続可能な社会の実現に貢献できる企業を目指し既存事業の成長モデル再生を引き続き進めて参ります。次期の連結業績につきましては、型枠貸与事業の売上高は2,000百万円（前期比31.0％増）、製品販売事業の売上高4,700百万円（前期比0.3％増）、全売上高6,700百万円（前期比7.9％増）を予想しております。これにより、営業利益500百万円（前期比41.3％増）、経常利益570百万円（前期比30.2％増）、親会社株主に帰属する当期純利益350百万円（前期比24.5％増）を見込んでおります。（５）利益配分に関する基本方針及び当期・次期の配当当社の利益配分につきましては、株主の皆様に対する利益還元を経営の最重要課題の一つとして"
5408,"今後の見通しにつきましては、国内鉄鋼需要の低迷に加え、中国経済の減速に伴う供給過剰を背景とした低価格 製品との競合や、足元で急騰している鉄スクラップ価格や各種資材コストに加え、中東情勢の影響によるエネルギ ー価格の高騰なども懸念され、厳しい経営環境が続くものと想定されます。鋼材販売価格への転嫁や新設した関東 中継地の活用等により販売価格・販売数量ともに改善を見込む一方で、主原料価格の高騰や高止まり、中東情勢の 影響の顕在化などが先行し、鋼材販売価格への転嫁には一定の時間を要することから、下期からの回復を見込むも 減益見通しとしております。このような環境下ではありますが、安定的な電気炉生産のもとコスト改善を進めてま いります。 また当社は2026年４月１日付にて、日本製鉄株式会社との合弁契約に基づき「ＮＮ製鋼合同会社」を設立いたし ました。今後は、新電気炉建設計画を着実に遂行するとともに、新電気炉の稼働開始を見据えた電気炉材の適用拡 大を図るべく、株式会社ヨドコウとの業務提携の本合意に向けた協議を進めつつ、将来に向けた地歩を固めていき ます。 さらに、カーボンニュートラル・循環型社会の実現に対しての社会的要請が高まる中、これらを訴求する高付加 価値製品の拡販や加工能力の強化などの諸施策を実行することで、事業基盤の一層の強化に努めてまいります。 以上の状況を踏まえ、次期（2027年３月期）の通期連結業績につきましては、売上高1,570億円、営"
5928,"今後の見通し 次期におきましては、新設住宅着工戸数の伸び悩み、原材料価格をはじめとする仕入価格等の高止まりが続くものと 見込まれますが、営業強化による新設住宅用建材の受注堅持、リフォーム建材の受注拡大、新規取引先の獲得や新製品 の更なる開発に注力してまいります。また、前年に引続き生産性の改善、業務の合理化、製品価格の見直し・交渉など 収益構造の改革に全社にて取組んでまいります。これらに加えて、収益物件を取得して不動産価値の向上を図った上で 売却するビジネスモデルについて検討を進め、既存の住宅関連事業とのシナジー創出を目指してまいります。 ２．会計基準の選択に関する基本的な考え方 当社は、非連結会社であることから、日本基準を採用することが公正妥当であると考えております。また、国内では IFRS（国際財務報告基準）を採用する会社は少数であり、現在採用する予定はありませんが、今後の国内他社の採用動 向を踏まえて検討はすすめていく方針であります。なお、当社の業務は日本国内に限定されております。 - 3 - アルメタックス㈱(5928) 2026年３月期 決算短信[日本基準]（非連結） 前事業年度 (2025年３月31日) 当事業年度 (2026年３月31日) (単位：千円) 1,880,895 64,659 1,540,680 853,849 206,024 7,521 713,990 24,750 96,726 1,469 △2,09"
7442,今後の見通し当連結会計年度の業績は、営業面におきましては、グループ全社において消費者の価値観・需要に合った商品の販売や取引先への営業展開等が順調に進み、また、特に「家庭用品卸売事業」においては、期末にかけて石油由来の一部商品に関して先行きの供給不安を見越した前倒し需要が顕在化し、売上高が一時的に伸長した結果、売上高は2025年５月９日公表の連結業績予想を上回ることができました。一方で、損益面におきましては、物価高を背景として、仕入価格が高止まり、変動費を中心とした販売費及び一般管理費が増加しましたが、営業利益、経常利益ともに連結業績予想を上回り、全体としては底堅く推移しました。今後の見通しにつきましては、中東情勢の悪化やウクライナ侵攻の長期化などを背景とした地政学上のリスクの影響や米国の通商政策の動向などの不安定要素があり、海外経済の先行きの不確実性は高まると見込まれます。また、国内経済につきましても、食料品・生活用品の継続的な値上げに伴う消費者の生活防衛意識の高まり等の影響を受けて、先行き不透明な経営環境が継続することが想定されます。さらに、取引先が属する業界の再編成、エネルギー価格の上昇等に伴う仕入価格及び物流費の上昇が見込まれており、一部商品における供給制約・欠品の発生可能性等を踏まえ、需要動向の不確実性は高まっております。これらの影響による需要は徐々に鈍化していく可能性があるものの、その時期及び程度につきましては、現時点では不透明な状況にあり、当社グループを取り巻く経営環
2388,今後の見通し 今後の世界経済は、アメリカによる関税措置の影響や、ロシア・ウクライナ紛争も継続しており、インフレーシ ョンに影響を与えうる可能性があり、先行き不透明な状況で推移すると予測しております。我が国経済のみならず 世界経済への長期的な影響が懸念されております。この影響に関しては、当社グループが事業を行っております各 国政府の方針、事業別の環境等により異なります。そのため、それぞれのセグメントの記載の中に記載しておりま すので、ご参照ください。 各事業については以下のように見通しと取り組みを進めてまいります。 (コンテンツ事業) コンテンツ事業におきましては、日本国内において売上高が増加を続けております。一方数年来の構造改革の結 果、支出適正化がなされており利益増加に貢献しており、今後これらのコンテンツにも期待をしております。海外 展開に関しましては、ベトナム並びにインドネシアが明確に売上高を増加させる段階に至っており、また海外から の印税なども増加傾向にあり、今後の利益増加への貢献を期待しております。 現在の好調には中期経営計画アクセルプランに基づき、獲得してきたコンテンツが貢献するとともに、数年来の 取り組みによる固定費の削減が進んでおりますことが寄与しております。現在においては上記実績による受注が好 調であり、また、筋肉質な体質にもなっておりますので、利益も確保できると考えております。 3 株式会社ウェッジホールディングス(2388)
4624,"今後の見通し 今後の経済の見通しにつきましては、2026年3月からの買い込み需要の反動が懸念され、中東情勢による原油等の供給不安をはじめ、ウクライナ情勢の長期化や原油価格をはじめとするエネルギー価格の動向、物流・運送業界をとりまく2024年問題の更なる顕在化、通商政策など米国の政策動向がわが国経済に与える影響が見通せず、先行きは極めて不透明な状況であります。 当社グループを取り巻く状況も、予断を許しませんが、中東情勢を引き続き注視し、原材料価格、エネルギー価格や物流コスト、人材確保・育成に係る人件費の上昇に対処すべく、生産効率化、業務効率化に注力し、販売シェア・販売数量の維持に努めつつ不急のコストを抑えるなど、収益確保に繋げてまいります。２．会計基準の選択に関する基本的な考え方 当社グループは、連結財務諸表の期間比較可能性及び企業間の比較可能性を考慮し、当面は、日本基準で連結財務諸表を作成する方針であります。 なお、ＩＦＲＳの適用につきましては、国内外の諸情勢を考慮の上、適切に対応していく方針であります。 イサム塗料㈱(4624)2026年3月期決算短信 - 4 - (単位：千円)前連結会計年度(2025年３月31日)当連結会計年度(2026年３月31日)資産の部流動資産現金及び預金4,082,3394,471,365受取手形511,751225,228電子記録債権625,879851,863売掛金1,035,6841,246,249有価証券600,0001,599,8"
7219,今後の見通し 株式会社エッチ・ケー・エス(7219) 2025年８月期 決算短信 今後の見通しといたしましては、海外向けの最大市場である米国の関税政策を含む通商・経済政策の不透明さ をはじめ、中国経済の失速リスクや各国の通商政策にともなう貿易摩擦、コストプッシュインフレへの懸念等、 当社マーケットをとりまく不確実性はますます高まっております。加えて、長期化する円安が原材料価格やエネ ルギー価格等に与える影響や、売り手市場が続く労働市場における賃金上昇圧力等も当社の損益に影響を与えて おり、これらの不確実性にどう対処し、コスト上昇圧力とどう向き合っていくかが、当社の企業価値を高めてい く上での重要なテーマとなります。 当社では、これら国内外の状況を踏まえ、さらなる工場稼働率の上昇と製造コストの低減にむけて、新規ライ ンアップへの取り組みやコスト戦略の強化を含む内製品へのてこ入れを進めるとともに、これまで取り組んでま いりました、お客様とじかに触れ合う機会を増やす「ことづくり」を通じたお客様のニーズの先取りと深掘り、 さらには「ことづくり」から、お客様の体験・体感に訴える「ものづくり」につなげていくという当社の基本方 針をより堅固なものとし、お客様の需要に即した新規商材の企画・開発・提案に取り組むことで、収益性を高め てまいります。さらには、関税の影響で収益率、現地需要ともに落ち込みが懸念される米国市場向けへのてこ入 れのため、現地代理店と協議を重ねたうえ
7857,今後の見通し 印刷需要が減少傾向にある中、当社グループの事業環境は一層厳しさを増しております。こうした状況下、引き 続き顧客ニーズに沿った既存の事業分野に捉われない幅広い提案営業活動を強化し、経営のより一層の合理化・効 率化を進めております。また、当社はＳＤＧｓならびに環境経営に関する基本方針及び数値目標をホームページ （https://www.seki.co.jp/csr/）に掲載しております。 今後の経済情勢につきましては、円安の長期化や中東情勢の緊迫化によるエネルギー・原材料価格の高騰により、 原価上昇による印刷需要のさらなる減少が懸念されます。こうした状況下、２０２７年３月期の連結業績予想につ きましては、売上高は１２８億４千５百万円（前年同期比５．９％増）、営業利益は４百万円（前年同期は６千５ 百万円の営業損失）、経常利益は２億３千５百万円（前年同期比２３．７％増）、親会社株主に帰属する当期純利 益は１億３千５百万円（前年同期比４６．６％減）を見込んでおります。 なお、次期の見通しにつきましては、当社グループが現時点で入手可能な情報から得られた判断に基づき記載し ており、リスクや不確実性を含んでおります。従いまして、今後の経済環境の変化や自然災害などにより、実際の 業績は当該予想値とは異なる場合があることをご承知おきください。 ２．会計基準の選択に関する基本的な考え方 当社グループは、国内の同業他社との比較可能性を確保するため、会計基準につき
6467,今後の見通し 当社グループの主要顧客業界である日系自動車産業では、中東情勢の悪化による部品・素材コストの上昇などに より生産体制の見直しや在庫調整の動きが継続することが予想され、さらに、エネルギー価格をはじめとする各種 コストや資材価格の上昇が見込まれるほか、レアメタル等の重要鉱物の調達難も想定されており、先行きは依然と して不透明な状況が続いております。 また、自動車産業の電動化シフトは一時的に市場成長が停滞しているものの、次世代自動車向け技術開発は加速 しており、サプライチェーン再編の動きも継続すると見込んでおります。 このような環境下で、2027年３月期の各事業の見通しは以下のとおりです。 金型事業では、自動車産業の状況を踏まえ、製品領域を広げ顧客開拓を一層推進し、売上高の増加を見込んでお ります。 精密部品事業では、今期は顧客の需要減により減収見込みのところ、現在引き合いをいただいている次期以降の 新規製品の立上げに注力しつつ生産効率向上に取り組み、業績回復を図ってまいります。 フィルタ事業では、タイ子会社吸収合併効果を発揮し、売上高の増加を見込んでおります。 以上の結果、次期の業績見通しにつきましては、連結売上高112億円（前年同期比1.9％増）を見込んでおりま す。 営業利益は１千万円（前年同期は４億８百万円の営業損失）と、黒字転換を見込んでおります。 一方、持分法適用会社となる予定である「Nichidai Sansera Privat
7266,"今後の見通し 今後の当社グループを取り巻く事業環境については、中東情勢に起因するエネルギー・資源価格の高騰、米国における通商政策の動向、為替相場の不安定な推移等により、先行きは依然として不透明な状況が続くものと予想されます。 このような経営環境の中で、当社は中期会社目標で掲げる９つの重点施策を「倍速の経営スピード」で実行し、安定した収益基盤を確立するべく邁進しております。 引き続き競争力強化や事業成長に向けて国内工場再編、調達構造の再構築、自動化・省人化等の合理化投資を推進するとともに、インド市場における生産能力の拡大等、成長市場・成長分野への展開を推進してまいります。 通期の業績予想は以下のとおり見込んでおります。第90期（2026年４月１日から2027年３月31日まで）連結売上高 86,000百万円（前期比1.3％減）連結営業利益 3,000百万円（前期比47.2％増）連結経常利益 2,800百万円（前期比32.0％増）親会社株主に帰属する当期純利益 2,300百万円（前期比7.3％減） 為替レートにつきましては、１ドル150円を想定しております。２．会計基準の選択に関する基本的な考え方 当社グループは、連結財務諸表の期間比較可能性及び企業間の比較可能性を考慮し、当面は、日本基準で連結財務諸表を作"
9914,"今後の見通しにつきましては、原油高が企業収益や物流費、家計負担を下押しし、政策金利の引き上げや長期金利の上昇も設備投資の重荷になると予想されます。一方で、政府の成長投資や継続的な賃上げ、雇用環境の改善により、家計の実質購買力を支えることが出来れば、景気は底堅さを保つ見込みとなります。ただし、急激な円安進行や株価の下落、中東情勢や日中関係の不安定化が強まれば、景況感は下振れする可能性が高く、今後の景気は、高まる不確実性の中で下振れリスクをともないつつ、弱含みで推移するものと想定しております。 このような環境のもと、当社は「新星ウエマツへ Ｓｐｉｒａｌ ｕｐ」をスローガンに新年度は、以下の重点施策を推進してまいります。 「次世代幹部の教育訓練」「ＡＩ時代への対応」「人材の確保と教育」「新たなビジネスモデルの構築」「サステナブル経営の実践」「社会貢献活動の継続」これらの取組を通じて、変化するニーズに柔軟に対応し、持続的な成長と企業価値の向上を目指してまいります。 上記から、2027年３月期通期の業績予想につきましては、売上高6,800百万円（前期比2.5％増）、営業利益87百万円（前期比2.4％増）、経常利益183百万円（前期比0.5％増）、当期純利益113百万円（前期比8.9％減）を予想 ㈱植松商会（9914）2026年３月期 決算短信〔日本基準〕（非連結） - 4 - しております。 なお、業績予想は本資料の発表日現在において入手可能な情報に基づいたものであり、実"
8995,"今後の見通しにつきましては、次のとおり予定しております。 当連結会計年度 自2025年４月１日 至2026年３月31日 2027年３月期予想 自2026年４月１日 至2027年３月31日 前期比 増減額 前期比 増減率 3,130百万円 3,535百万円 405百万円 12.9％ 41百万円 37百万円 25百万円 115百万円 74百万円 180.5％ 105百万円 68百万円 183.8％ 70百万円 45百万円 180.0％ 売 上 高 営業利益 経常利益 親会社株主に帰属する 当期純利益 2027年３月期については、上記の通り増収、増益計画であります。売上高については、現在の契約・商談状況及び堺 市及び富田林市にて好立地の物件取得予定もあることから、販売戸数の増加を見込み、12.9％の増加計画です。利益に ついては、低利益率の物件販売が一巡したこと及び利益率の高い物件の取得予定があり、経常利益183.8％の増加計画で す。完成物件の販売を促進する一方、高付加価値物件による販売価格の転嫁を進め、利益率の向上を図ります。 3 株式会社誠建設工業(8995) 2026年３月期 決算短信 （５）利益配分に関する基本方針及び当期・次期の配当 当社グループは、株主に対する利益還元を経営の重要課題の一つと認識しており、株主への利益配当を安定かつ 継続的に実施することを利益配分の基本方針と位置付け、これを"
1994,次期の見通しにつきましては、売上高は82億42百万円（前連結会計年度比12.3%増）、営業利益2億18百万円（前 連結会計年度比93.5%増）、経常利益2億68百万円（前連結会計年度比43.6%増）、親会社株主に帰属する当期純利益 1億66百万円（前連結会計年度比12.9%減）を見込んでおります。一方、2026年は関東の市況が回復することが見え ており、業績も回復してゆくと考えています。 -3- 高橋カーテンウォール工業株式会社(1994) 2025年12月期 決算短信 （５）利益配分に関する基本方針及び当期・次期の配当 当社の配当の基本方針といたしましては、将来の成長を展望した企業体質の強化、並びに積極的な事業展開に必 要な内部留保の確保に配慮しつつ、安定的な配当額を加味しながら、株主の皆様への利益還元を心がけておりま す。 具体的には、年間20円配当を安定的に行うことを基本とし、最近の業績動向等を勘案して、それ以上の配当額を 目指すことを基本方針としています。 また内部留保につきましては、当社企業グループの競争力の維持・強化による収益力向上を図るための設備投 資・開発研究等有効に活用する方針であります。 当期の期末配当につきましては、1株当たり期末配当金を従来予想通り10円となる予定です。これにより実施済み の中間配当金10円と合わせた年間配当金は1株当たり20円となる予定です。 次期の配当につきましては、安定配当を重視する方針に則り、中間1
9162,今後の見通し 当社グループは、新規商材・新規ジャンルの開拓に加えて、商品企画等の上流コンサルティング領域への注力、 新たな広告媒体の開拓、マーケティング手法の拡大などにより、商材ポートフォリオを拡大し、当社グループの収 益の柱となるコア商材を増やしていくことで継続的な業績拡大を図ってまいります。また、株式会社オーラムテッ クによる支援領域の拡大により、事業ポートフォリオの拡大を進めてまいります。特に、人材投資やIT投資による マーケティング支援体制の強化を図るとともに、業務提携やM＆Aによる新たな事業ポートフォリオを組成し、安定 的・継続的な成長のための事業基盤を強化してまいります。 ただし、当社グループは、以下の理由により、2026年６月期の業績予想については現時点での開示を見合わせる ことといたしました。 当社グループを取り巻く外部環境については、広告関連法令の改正や一部の広告媒体におけるルールの変更、イ ンターネット広告単価の変動等により、事業環境は厳しく、不透明性が増しております。 また、当社グループは中長期的な成長のため、新規商材の拡大に注力し、商材ポートフォリオの転換を図ってお ります。今後、さらに多くの新規商材がコア商材となっていくことで当社グループ業績は拡大していくものと見込 んでおりますが、新規商材の立ち上げに想定以上の時間を要しており、当社グループ業績に貢献する時期や度合い を合理的に予測することが困難な状況にあります。 今後、連
8046,今後の見通し建設業界を取り巻く環境は、都市部の再開発プロジェクトや鉄道関連、エネルギー関連施設及び倉庫・工場案件の需要や、政府主導の第１次国土強靭化実施中期計画、インフラ長寿命化計画等の下支えが期待され、中長期的に底堅い建設需要の推移が見込まれます。一方で、エネルギー価格や原材料価格の高止まりによるインフレ圧力の持続、資機材および労務費の高騰など建設コストの上昇が想定されます。加えて、建設業界の慢性的な人手不足による労務需給の逼迫、時間外労働の上限規制適用の影響による工事の見直しや遅延等の発生が懸念されており、採算面での厳しさが一層増すものと予想されます。当社グループでは、2024年度（2025年３月期）からスタートした３か年中期経営計画の２年目が終了し、最終年度末の目標に掲げた定量的目標数値の連結売上高400億円、経常利益20億円の目標を前倒しで達成したことから、経営基盤の強化と成長に向けた投資の取り組みが着実に成果に結びついているものと判断いたしております。そこで、2026年度から新たな中期経営計画をスタートさせ、５年後の2030年度をゴールとして目標達成に取り組んでまいります。詳細につきましては、本日公表いたしました「中期経営計画の策定と資本コストや株価を意識した経営の実現に向けた対応（アップデート）」をご参照ください。このような状況を踏まえ、2027年３月期の連結業績は、売上高410億円、営業利益20億円、経常利益26億円、親会社株主に帰属する当期純利益17億50百万円の
8147,今後の見通し当社グループを取り巻く事業環境は、景気は緩やかな回復基調にあるものの、米国の通商政策の動向、中東情勢、為替変動、原材料・原油価格の高騰及び中国経済の減速など、依然として不透明な状況が続くものと予想しております。このような環境の下、当社グループは、「フェアプレイで世界のものづくりに貢献する」という企業理念の下、「技術に強い専門商社」を目指し顧客満足度を追求することで、時代の変化に対応して変革を続け、継続的な企業価値の向上に繋げてまいります。上記方針の下、当社グループは需要が旺盛な半導体業界、航空事業、EV及びHV（ハイブリッド車）に関連した業界等、並びに、好調なインド市場へのアプローチ強化を継続、自動化・省人化・DX化を推進する商品及び環境に配慮した商品の開発及び営業等を推進してまいります。 次期の通期の連結業績予想につきましては、売上高246億円、営業利益10億円、経常利益11億円、親会社株主に帰属する当期純利益６億８千万円を見込んでおります。 株式会社トミタ (8147) 2026年3月期 決算短信 - 4 - ２．会計基準の選択に関する基本的な考え方 当社グループは、国際会計基準に基づく連結財務諸表を作成するための体制整備の負担等を考慮し、日本基準に基づき連結財務諸表を作成しております。 株式会社トミタ (8147) 2026年3月期 決算短信 - 5 - (単位：千円)前連結会計年度(2025年３月31日)当連結会計年度(2026年３月31日)資産の部流
7624,今後の見通しについては、物価高・人手不足に加え、アメリカ政府の政策動向や中東情勢の緊張に伴う原油価格 の変動等の要因により、先行き不透明な状況で推移するものと予想しております。 このような認識のもと、当社は新中期経営計画の初年度として令和９年２月期の売上高は450億円、営業利益４ 億円、経常利益４億30百万円、親会社株主に帰属する当期純利益２億70百万円を見込んでおります。 なお、新中期経営計画の内容については、定時株主総会招集ご通知や有価証券報告書等にてお知らせいたしま す。 ２．会計基準の選択に関する基本的な考え方 当社グループは、連結財務諸表の期間比較可能性および企業間の比較可能性を考慮し、当面は、日本基準に基づき連 結財務諸表を作成する方針であります。 なお、IFRSの適用につきましては、国内外の諸情勢を考慮の上、適切に対応していく方針であります。 3 ３．連結財務諸表及び主な注記 （１）連結貸借対照表 資産の部 流動資産 現金及び預金 受取手形及び売掛金 電子記録債権 棚卸資産 その他 貸倒引当金 流動資産合計 固定資産 有形固定資産 建物及び構築物（純額） 工具、器具及び備品（純額） 土地 その他（純額） 有形固定資産合計 無形固定資産 ソフトウエア その他 無形固定資産合計 投資その他の資産 投資有価証券 退職給付に係る資産 繰延税金資産 差入保証金 その他 貸倒引当金
8119,次期の見通しわが国の今後の経済見通しは、[内外環境]にも記載したとおり様々なリスク要因が前期より続いており、特に緊迫した中東情勢による原油高が、先行きに対する一層の不透明感を引き起こしています。こうした状況下、当社グループは創業80周年となる2026年を初年度とする中期経営計画『SANYEI NEXT 2028』を策定し、外部環境に左右されにくい、持続的かつ着実な成長戦略を進めて参ります。恒常的に事業ポートフォリオの見直しを行うとともに、事業ドメインである「生活用品」を商品軸からだけでなく、サービス、販売チャネル、個々のマーケットといった視点から見直し、高付加価値化と差別化を図ります。その結果、次期連結業績としては売上高365億円（前期比0.5%増加）、営業利益10億円（前期比26百万円減少）、経常利益10億円（前期比156百万円減少）、親会社株主に帰属する当期純利益7億円（前期比131百万円増加）となる見込です。前期までに関係会社の整理が一段落したことから、親会社株主に帰属する当期純利益においては前期比増益となる見込です。なお、通期の業績見通しの前提となる為替レートは1米ドル158.00円としております。 ㈱三栄コーポレーション（8119） 2026年3月期 決算短信 - 4 - 2022年3月期2023年3月期2024年3月期2025年3月期2026年3月期自己資本比率（％）48.151.353.756.459.6時価ベースの自己資本比率（％）18.719.729.738
4341,業績見通しは、当社が現時点において合理的と判断する一定の前提に基づいており、実際の業績は見通しと異なることがあることをお含みおき願います。（5）利益配分に関する基本方針及び当期・次期の配当 当社は、株主の皆様に対する利益還元を経営の最重要政策の一つと考えており、会社の競争力を維持・強化して株主資本の拡充と同利益率の向上を図るとともに、配当水準の向上と安定化に努める方針です。 剰余金の配当につきましては、期末配当の年１回もしくは中間配当を含めた年２回の配当を行うことを基本とし、「連結株主資本配当率（DOE）（※）1.5％程度」、または「連結配当性向40％台」のいずれか高い方を目安に配当金額を決定いたします。※連結株主資本配当率(DOE)＝（年間配当総額÷連結株主資本）×100 当期の期末配当金につきましては、上記配当方針及び当期の連結業績並びに財務状況等を勘案し、また、引き続き株主の皆様の日頃のご支援にお応えすべく１株当たり33円を予定しております。 これにより、当期の年間配当金は、前期に比べ10円増配の１株当たり33円となる予定です。 なお、本件は2026年６月25日開催予定の第60回定時株主総会の承認を経て正式に決定する予定です。 次期の配当につきましては、中間配当金額は記念配当１株当たり15円、期末配当金額は普通配当１株当たり30円とし、年間配当金額は１株当たり45円を予定しております。 西菱電機㈱（4341） 2026年3月期 決算短信 - 5 - ２．会計基準の選択に
7229,"今後の見通し 2026年３月11日付で公表した『マザーサン グローバル インベストメンツ ビーブイ（Motherson Global Investments B.V.）による当社株式に対する公開買付けの結果に関するお知らせ』に記載のとおり、公開買付者 による本公開買付け及びその後の一連の手続に従って、当社株式は上場廃止となる予定であることから2027年３ 月期の連結業績予想は記載しておりません。 （２）当期の財政状態の概況 ① 資産、負債及び資本の状況 当連結会計年度末の資産につきましては、退職給付に係る資産の減少はあったものの、現金及び現金同等物の 増加や営業債権及びその他の債権の増加により、前連結会計年度末に比べ176億９百万円増加し、1,860億１千６ 百万円となりました。 負債につきましては、主に営業債務及びその他の債務の増加の他、その他の流動負債が増加したことにより、 前連結会計年度末に比べ102億７千万円増加し、671億２千７百万円となりました。 資本につきましては、主に利益剰余金の増加やその他の資本の構成要素の増加により、前連結会計年度末に比 べ73億３千９百万円増加し、1,188億８千９百万円となりました。 ② キャッシュ・フローの状況 当連結会計年度末における現金及び現金同等物(以下「資金」という。)は、前連結会計年度末に比べて88億６ 千万円増加し、496億５百万円となりました。 当連結会計年度における各キャッシュ・フローの状"
7538,"今後の見通しにつきましては、中東情勢や為替の変動により、資材価格や物流費の上昇が懸念されます。こうしたコスト上昇に加え、海外での水産物需要の高まりや海水温の上昇等による漁獲量の減少を背景に、水産物価格は上昇が続くものと考えられます。消費者の節約志向も依然として根強く、厳しい事業環境が続くものと見込まれます。このような状況下、2027年３月期の連結業績見通しは、売上高1,060億円、営業利益８億円、経常利益９億50百万円、親会社株主に帰属する当期純利益６億50百万円と予想しております。なお、当社グループは報告セグメントにおける水産物販売事業の比重が高いため、セグメント別の見通しにつきましては、記載を省略しております。また、上記の業績予想は本資料の発表日現在において入手可能な情報に基づき作成したものであり、実際の業績は、今後様々な要因によって予想数値と異なる結果となる可能性があります。 ㈱大水（7538）2026年３月期 決算短信 - 4 - ２．会計基準の選択に関する基本的な考え方当社グループの利害関係者の多くは国内の株主、債権者、取引先等であり、かつ、海外からの資金調達の必要性が乏しいため、会計基準につきましては日本基準を適用しております。今後は国内他社の国際会計基準の採用状況等を勘案し、対応してまいります。 ㈱大水（7538）2026年３月期 決算短信 - 5 - (単位：百万円)前連結会計年度(2025年３月31日)当連結会計年度(2026年３月31日)資"
